"Date" "Nationality" "Cause of death" "Mountain"
"2023-07-27" "Pakistan" "Unknown" "K2"
"2022-07-22" "Australia" "Fall" "K2"
"2022-07-22" "Canada" "Fall" "K2"
"2022-07-21" "Afghanistan" "Unknown  suspected altitude sickness"
"2021-07-25" "United Kingdom" "Avalanche" "K2"
"2021-02-05" "Pakistan" "Froze to death in storm  remains found July 2021"
"2021-02-05" "Chile" "Froze to death in storm  remains found July 2021"
"2021-02-05" "Iceland" "Froze to death in storm  remains found July 2021"
"2021-02-05" "Bulgaria" "Fall during descent from Camp 3" "K2"
"2021-01-16" "Spain" "Fall during descent from Camp 1" "K2"
"2018-07-22" "Japan" "Fall during descent" "K2"
"2018-07-07" "Canada" "Fall" "K2"
"2014-07-30" "Spain" "Unclear  likely altitude sickness"
"2013-07-27" "New Zealand / United States" "Avalanche" "K2"
"2013-07-27" "New Zealand / United States" "Avalanche" "K2"
"2012-02-06" "Russia" "Frostbite" "K2"
"2010-08-06" "Sweden" "Fall from the Bottleneck" "K2"
"2010-07-17" "Bulgaria" "Altitude sickness" "K2"
"2009-06-23" "Italy" "Fall with skis" "K2"
"2008-08-02" "South Korea" "Fourth serac fall" "K2"
"2008-08-02" "South Korea" "Fourth serac fall" "K2"
"2008-08-02" "South Korea" "Fourth serac fall" "K2"
"2008-08-02" "Nepal" "Fourth serac fall" "K2"
"2008-08-02" "Nepal" "Fourth serac fall" "K2"
"2008-08-02" "Ireland" "Second or third serac fall" "K2"
"2008-08-02" "Pakistan" "Second or third serac fall" "K2"
"2008-08-02" "France" "Fall during descent" "K2"
"2008-08-01" "Norway" "First serac fall" "K2"
"2008-08-01" "Pakistan" "Fall while trying to recover Mandić's corpse" "K2"
"2008-08-01" "Serbia" "Fall during ascent" "K2"
"2007-07-20" "Italy" "Unknown (disappeared)" "K2"
"2007-07-20" "Nepal" "Fall from the Bottleneck" "K2"
"2006-08-13" "Russia" "Avalanche" "K2"
"2006-08-13" "Russia" "Avalanche" "K2"
"2006-08-13" "Russia" "Avalanche" "K2"
"2006-08-13" "Russia" "Avalanche" "K2"
"2004-08-19" "Spain" "Pulmonary edema" "K2"
"2004-08-02" "Iran" "Lost in storm  presumed dead"
"2004-08-02" "Russia" "Lost in storm  presumed dead"
"2004-07-28" "Kyrgyzstan" "Fall" "K2"
"2004-06-08" "South Korea" "Avalanche" "K2"
"2004-06-08" "South Korea" "Avalanche" "K2"
"2004-06-08" "South Korea" "Avalanche" "K2"
"2003-07-21" "Germany" "Fall" "K2"
"2002-07-22" "Pakistan" "Fall" "K2"
"2002-07-13" "Pakistan" "Avalanche" "K2"
"2001-07-22" "South Korea" "Fall" "K2"
"1999-07-10" "Romania" "Hit by rockfall" "K2"
"1996-08-14" "Russia" "Exhaustion" "K2"
"1996-07-29" "Italy" "Fall" "K2"
"1995-08-15" "Canada" "Exhaustion" "K2"
"1995-08-13" "New Zealand" "Killed in a storm" "K2"
"1995-08-13" "United States" "Killed in a storm" "K2"
"1995-08-13" "United Kingdom" "Killed in a storm" "K2"
"1995-08-13" "Spain" "Killed in a storm" "K2"
"1995-08-13" "Spain" "Killed in a storm" "K2"
"1995-08-13" "Spain" "Killed in a storm" "K2"
"1995-07-06" "Spain" "Fall" "K2"
"1994-08-11" "Spain" "HACE" "K2"
"1994-07-24" "United States" "Fall from broken rope" "K2"
"1994-07-10" "Ukraine" "Killed in a storm" "K2"
"1994-07-10" "Ukraine" "Killed in a storm" "K2"
"1994-07-10" "Ukraine" "Killed in a storm" "K2"
"1993-07-31" "Sweden" "Altitude sickness  fall"
"1993-07-30" "Germany" "Fall" "K2"
"1993-07-30" "Germany" "Fall" "K2"
"1993-07-07" "Canada" "Fall" "K2"
"1993-06-15" "Slovenia" "Altitude sickness" "K2"
"1992-08-14" "Mexico" "Fall" "K2"
"1989-07-28" "Austria" "Avalanche" "K2"
"1987-08-24" "Japan" "Fall" "K2"
"1986-08-10" "Poland" "Exhaustion" "K2"
"1986-08-10" "Austria" "Altitude sickness" "K2"
"1986-08-10" "Austria" "Altitude sickness" "K2"
"1986-08-10" "United Kingdom" "Altitude sickness" "K2"
"1986-08-07" "United Kingdom" "Altitude sickness" "K2"
"1986-08-04" "Pakistan" "Stonefall" "K2"
"1986-08-03" "Poland" "Fall" "K2"
"1986-07-16" "Italy" "Fall into crevasse" "K2"
"1986-07-10" "Poland" "Fall" "K2"
"1986-06-24" "France" "Disappeared  remains found in 1998 near Camp 1"
"1986-06-24" "France" "Disappeared  remains found July 19
"1986-06-21" "United States" "Avalanche" "K2"
"1986-06-21" "United States" "Avalanche" "K2"
"1985-07-07" "France" "Unknown (disappeared)" "K2"
"1982-08-15" "Japan" "Fall" "K2"
"1982-07-30" "Poland" "Stroke" "K2"
"1979-08-19" "Pakistan" "Stroke" "K2"
"1979-06-09"  Son of Kazim" "Pakistan" "Fall into crevasse"
"1978-06-12" "United Kingdom" "Avalanche" "K2"
"1954-06-21" "Italy" "Pneumonia" "K2"
"1953-08-10" "United States" "Avalanche" "K2"
"1939-07-31" "Nepal" "Unknown (disappeared)" "K2"
"1939-07-31" "Nepal" "Unknown (disappeared)" "K2"
"1939-07-31" "Nepal" "Unknown (disappeared)" "K2"
"1939-07-30" "United States" "Altitude sickness  severe dehydration"
"2023-05-25" "Germany" "Unknown" "Kangchenjunga"
"2022-05-05" "India" "Altitude sickness" "Kangchenjunga"
"2019-05-16" "India" "Exposure  frostbite"
"2019-05-16" "India" "Exposure  frostbite"
"2019-05-15" "Chile" "Unknown (disappeared)" "Kangchenjunga"
"2014-05-20" "India" "Fall on descent above Camp 4 on Yalung Kang" "Kangchenjunga"
"2014-05-20" "Nepal" "Fall on descent above Camp 4 on Yalung Kang" "Kangchenjunga"
